"order","family","invertebrateLifeStage","mean_CN","mean_CP","mean_NP","min_CN","min_CP","min_NP","max_CN","max_CP","max_NP"
"Hemiptera","Gerridae","larva",8.9561278,342.27572016,38.21693122,8.9561278,342.27572016,38.21693122,8.9561278,342.27572016,38.21693122
"Hemiptera","Notonectidae","adult",5.24200913,225.75488455,43.06648059,5.24200913,225.75488455,43.06648059,5.24200913,225.75488455,43.06648059
"Lepidoptera","Crambidae","larva",4.85278788,137.40451458,28.26767162,4.50462963,113.91993464,23.72759104,5.28746177,156.77723178,32.01376936
"Odonata","Coenagrionidae","larva",5.07983943,205.02845528,40.3612079,5.07983943,205.02845528,40.3612079,5.07983943,205.02845528,40.3612079
"Odonata","Gomphidae","larva",5.19598765,443.7797619,85.40816327,5.19598765,443.7797619,85.40816327,5.19598765,443.7797619,85.40816327
"Odonata","Libellulidae","larva",5.36666667,160.58558559,29.92277992,5.36666667,160.58558559,29.92277992,5.36666667,160.58558559,29.92277992
"Plecoptera","Capniidae","larva",6.11231884,282.99242424,46.2987013,6.11231884,282.99242424,46.2987013,6.11231884,282.99242424,46.2987013
"Plecoptera","Chloroperlidae","larva",6.13221094545455,335.972375649091,55.2010847263636,4.84615385,175.2173913,28.32983193,7.29166667,542.5,95.95238095
"Plecoptera","Leuctridae","larva",5.93539755,339.13239536,58.712121215,5.28746177,291.547619,44.28571429,6.58333333,386.71717172,73.13852814
"Plecoptera","Nemouridae","larva",8.855098236,309.199152054,37.241052674,5.18636364,233.6039886,21.57509158,10.82748538,414.07142857,56.64451827
"Plecoptera","Peltoperlidae","larva",6.75,209.25,31,6.75,209.25,31,6.75,209.25,31
"Plecoptera","Perlidae","larva",5.74129534307692,376.053428366923,69.7814240930769,4.58198925,117.85714286,21.63265306,9.30046948,604.73484848,118.76623377
"Plecoptera","Perlodidae","larva",5.378342985,445.983333335,82.97142857,4.93589744,412.5,82.37142857,5.82078853,479.46666667,83.57142857
"Plecoptera","Pteronarcyidae","larva",8.47887324,105.7936508,12.47732426,8.47887324,105.7936508,12.47732426,8.47887324,105.7936508,12.47732426
"Plecoptera","Taeniopterygidae","larva",19.86403509,232.1412037,11.68650794,19.86403509,232.1412037,11.68650794,19.86403509,232.1412037,11.68650794
"Trichoptera","Apataniidae","larva",6.1547619,247.33024691,40.18518519,6.1547619,247.33024691,40.18518519,6.1547619,247.33024691,40.18518519
"Trichoptera","Calamoceratidae","larva",6.34219858,153.498062,24.20265781,6.34219858,153.498062,24.20265781,6.34219858,153.498062,24.20265781
"Trichoptera","Hydrobiosidae","larva",5.850747945,320.31348503,54.85984465,4.95338983,275.37234043,54.12698413,6.74810606,365.25462963,55.59270517
"Trichoptera","Hydropsychidae","larva",6.68246492166667,349.350782635,54.4041075866667,5.28301887,103.74374816,13.289623,8.3,558,97.79761905
"Trichoptera","Limnephilidae","larva",11.81790123,1086.98717949,91.97802198,11.81790123,1086.98717949,91.97802198,11.81790123,1086.98717949,91.97802198
"Trichoptera","Philopotamidae","larva",5.7,368.125,64.58333333,5.7,368.125,64.58333333,5.7,368.125,64.58333333
"Trichoptera","Rhyacophilidae","larva",5.99139726857143,321.441345477143,53.5765091342857,5.47012579,209.38596491,33.4085213,6.43508772,514.42028986,85.68322981
"Trichoptera","Uenoidae","larva",6.24652778,213.13536651,34.12061454,6.24652778,213.13536651,34.12061454,6.24652778,213.13536651,34.12061454
