"siteID","order","family","genus","invertebrateLifeStage","lowest_id","mean_biomass_mg_m2","sd_biomass_mg_m2"
"BIGC","Diptera","Ceratopogonidae","Forcipomyia","larva","Forcipomyia",0.00145396939969729,
"BIGC","Diptera","Ceratopogonidae","Stilobezzia","larva","Stilobezzia",0.0130085725756124,0.0122282300305636
"BIGC","Diptera","Ceratopogonidae",,"larva","Ceratopogonidae",0.144121041908805,0.472300115718588
"BIGC","Diptera","Chironomidae","Ablabesmyia","larva","Ablabesmyia",0.230129167562955,0.418085056088186
"BIGC","Diptera","Chironomidae","Apedilum","larva","Apedilum",0.00180779723796423,0.00144625561888947
"BIGC","Diptera","Chironomidae","Brillia","larva","Brillia",0.0312551715773614,0.0559593426496281
"BIGC","Diptera","Chironomidae","Brundiniella","larva","Brundiniella",0.0279876016636403,
"BIGC","Diptera","Chironomidae","Cladotanytarsus","larva","Cladotanytarsus",0.0266257168050363,0.0427465095881368
"BIGC","Diptera","Chironomidae","Cladotanytarsus","pupa","Cladotanytarsus",0.00866209478085314,
"BIGC","Diptera","Chironomidae","Constempellina","larva","Constempellina",0.001575,
"BIGC","Diptera","Chironomidae","Corynoneura","larva","Corynoneura",0.0279421562719638,0.0386014476614311
"BIGC","Diptera","Chironomidae","Corynoneura","pupa","Corynoneura",0.0109565897037177,0.0144084324566448
"BIGC","Diptera","Chironomidae","Cricotopus","larva","Cricotopus",0.312266543856683,0.635702704878739
"BIGC","Diptera","Chironomidae","Cricotopus","pupa","Cricotopus",0.0739877500366399,0.0716038716253855
"BIGC","Diptera","Chironomidae","Cricotopus/Orthocladius","larva","Cricotopus/Orthocladius",0.0817050399229316,0.210070264866289
"BIGC","Diptera","Chironomidae","Cryptochironomus","larva","Cryptochironomus",0.0212219480966327,0.0262687517834617
"BIGC","Diptera","Chironomidae","Cyphomella","larva","Cyphomella",0.0027,
"BIGC","Diptera","Chironomidae","Demicryptochironomus","larva","Demicryptochironomus",0.036135918319754,0.0655312068775036
"BIGC","Diptera","Chironomidae","Eukiefferiella","larva","Eukiefferiella",0.0410447689223894,0.0747308986032337
"BIGC","Diptera","Chironomidae","Eukiefferiella","pupa","Eukiefferiella",0.0112115024826936,0.0115479762738812
"BIGC","Diptera","Chironomidae","Heleniella","larva","Heleniella",0.0235590698167409,0.0355885249667025
"BIGC","Diptera","Chironomidae","Krenosmittia","larva","Krenosmittia",0.0297150260817273,0.0315385651447676
"BIGC","Diptera","Chironomidae","Krenosmittia","pupa","Krenosmittia",0.00145396939969729,
"BIGC","Diptera","Chironomidae","Labrundinia","larva","Labrundinia",0.0123669732563407,0.0127619620447537
"BIGC","Diptera","Chironomidae","Larsia","larva","Larsia",0.023664336457205,0.0430405153762859
"BIGC","Diptera","Chironomidae","Lauterborniella","larva","Lauterborniella",0.001125,0.000675
"BIGC","Diptera","Chironomidae","Limnophyes","larva","Limnophyes",0.000225,
"BIGC","Diptera","Chironomidae","Lopescladius","larva","Lopescladius",0.0170380935497717,0.0232746389126401
"BIGC","Diptera","Chironomidae","Lopescladius","pupa","Lopescladius",0.00872381639818377,
"BIGC","Diptera","Chironomidae","Micropsectra","larva","Micropsectra",0.0690409859377095,0.0975835707041413
"BIGC","Diptera","Chironomidae","Microtendipes","larva","Microtendipes",0.112007279129628,0.280616877023275
"BIGC","Diptera","Chironomidae","Microtendipes","pupa","Microtendipes",0.165525749485242,0.162176365539788
"BIGC","Diptera","Chironomidae","Nanocladius","larva","Nanocladius",0.0308636872353037,0.0458183812331176
"BIGC","Diptera","Chironomidae","Natarsia","larva","Natarsia",0.0093956756233605,0
"BIGC","Diptera","Chironomidae","Nilotanypus","larva","Nilotanypus",0.0152400190655045,0.0209649504557554
"BIGC","Diptera","Chironomidae","Odontomesa","larva","Odontomesa",0.00433104739042657,
"BIGC","Diptera","Chironomidae","Orthocladius","larva","Orthocladius",0.266192277278458,0.551824219484365
"BIGC","Diptera","Chironomidae","Orthocladius","pupa","Orthocladius",0.0931175188941713,0.0643127725676295
"BIGC","Diptera","Chironomidae","Pagastia","larva","Pagastia",0.377239716047304,0.524538087781936
"BIGC","Diptera","Chironomidae","Pagastiella","larva","Pagastiella",0.00406759526596035,0.00534985770860124
"BIGC","Diptera","Chironomidae","Parakiefferiella","larva","Parakiefferiella",0.0290306677836303,0.0443950042226432
"BIGC","Diptera","Chironomidae","Parakiefferiella","pupa","Parakiefferiella",0.00268720409954594,0.00227096908937251
"BIGC","Diptera","Chironomidae","Parametriocnemus","larva","Parametriocnemus",0.12546814587662,0.188154251353099
"BIGC","Diptera","Chironomidae","Parametriocnemus","pupa","Parametriocnemus",0.0250272583456497,0.0231087058413117
"BIGC","Diptera","Chironomidae","Paratanytarsus","larva","Paratanytarsus",0.80351367390299,2.83652594466695
"BIGC","Diptera","Chironomidae","Paratanytarsus","pupa","Paratanytarsus",0.0216552369521329,
"BIGC","Diptera","Chironomidae","Paratendipes","larva","Paratendipes",0.00474565111222618,0.00700377891053603
"BIGC","Diptera","Chironomidae","Parorthocladius","larva","Parorthocladius",0.00145396939969729,
"BIGC","Diptera","Chironomidae","Pentaneura","larva","Pentaneura",0.101871429082972,0.133598467860822
"BIGC","Diptera","Chironomidae","Pentaneura","pupa","Pentaneura",0.0986545940452852,0.0730812054181808
"BIGC","Diptera","Chironomidae","Phaenopsectra","larva","Phaenopsectra",0.0686774476359165,0.17015729537597
"BIGC","Diptera","Chironomidae","Polypedilum","larva","Polypedilum",0.083651598084327,0.155965957386064
"BIGC","Diptera","Chironomidae","Polypedilum","pupa","Polypedilum",0.0503078384956801,0.0175625033460728
"BIGC","Diptera","Chironomidae","Potthastia","larva","Potthastia",0.412593954961201,0.292275296289682
"BIGC","Diptera","Chironomidae","Prodiamesa","larva","Prodiamesa",0.339059899397256,
"BIGC","Diptera","Chironomidae","Psectrocladius","larva","Psectrocladius",0.0701026991354995,0.060905919174583
"BIGC","Diptera","Chironomidae","Psectrocladius","pupa","Psectrocladius",0.0342641344433513,
"BIGC","Diptera","Chironomidae","Psilometriocnemus","larva","Psilometriocnemus",0.00784751679012387,0.00917852333280156
"BIGC","Diptera","Chironomidae","Radotanypus","larva","Radotanypus",0.0101777857978811,
"BIGC","Diptera","Chironomidae","Rheocricotopus","larva","Rheocricotopus",0.109017427741633,0.216098987232877
"BIGC","Diptera","Chironomidae","Rheocricotopus","pupa","Rheocricotopus",0.0692967582468252,
"BIGC","Diptera","Chironomidae","Rheotanytarsus","larva","Rheotanytarsus",0.0847911065692233,0.148134003881049
"BIGC","Diptera","Chironomidae","Rheotanytarsus","pupa","Rheotanytarsus",0.034825987872935,0.0427817378921796
"BIGC","Diptera","Chironomidae","Robackia","larva","Robackia",0.497312599736978,0.968715277796742
"BIGC","Diptera","Chironomidae","Saetheria","pupa","Saetheria",0.0232635103951567,
"BIGC","Diptera","Chironomidae","Stempellinella","larva","Stempellinella",0.0567455054115927,0.141263773914984
"BIGC","Diptera","Chironomidae","Stempellinella","pupa","Stempellinella",0.00815624367658846,0.00876097616335095
"BIGC","Diptera","Chironomidae","Synorthocladius","larva","Synorthocladius",0.0398180758703269,0.0574805099543292
"BIGC","Diptera","Chironomidae","Synorthocladius","pupa","Synorthocladius",0.0195516021960648,0.015230107538499
"BIGC","Diptera","Chironomidae","Tanytarsus","larva","Tanytarsus",0.336685695091633,3.12254155556095
"BIGC","Diptera","Chironomidae","Tanytarsus","pupa","Tanytarsus",0.0136562079982363,0.00970297139578727
"BIGC","Diptera","Chironomidae","Thienemanniella","larva","Thienemanniella",0.0242769417527749,0.0370436425635233
"BIGC","Diptera","Chironomidae","Thienemanniella","pupa","Thienemanniella",0.00424620862208769,0.00349493260292554
"BIGC","Diptera","Chironomidae","Thienemannimyia","larva","Thienemannimyia",0.0430686699823873,0.0636769124480578
"BIGC","Diptera","Chironomidae","Thienemannimyia","pupa","Thienemannimyia",0.0476415212946923,
"BIGC","Diptera","Chironomidae","Tokunagaia","larva","Tokunagaia",0.0072,
"BIGC","Diptera","Chironomidae","Tvetenia","larva","Tvetenia",0.0287563095706602,0.0413894352407362
"BIGC","Diptera","Chironomidae","Tvetenia","pupa","Tvetenia",0.00433104739042657,0
"BIGC","Diptera","Chironomidae","Zavrelimyia","larva","Zavrelimyia",0.112301420438956,0.149409154449601
"BIGC","Diptera","Chironomidae",,"larva","Chironomidae",0.0246012022665208,0.0504051845420459
"BIGC","Diptera","Chironomidae",,"pupa","Chironomidae",0.0100077674142788,0.0235703031252385
"BIGC","Diptera","Dixidae","Dixa","larva","Dixa",0.0363273485231099,0.0585877320729196
"BIGC","Diptera","Dixidae","Meringodixa","larva","Meringodixa",0.0146584585471346,0.00456043402375899
"BIGC","Diptera","Empididae","Clinocera","larva","Clinocera",0.0794964523773105,0.100174909194896
"BIGC","Diptera","Empididae","Hemerodromia","larva","Hemerodromia",0.0182241895617063,0.0232273116291517
"BIGC","Diptera","Empididae","Neoplasta","larva","Neoplasta",0.0557913354935931,0.050008407920447
"BIGC","Diptera","Empididae",,"larva","Empididae",0.0095346997698718,0.0115990622760122
"BIGC","Diptera","Limoniidae","Eloeophila","larva","Eloeophila",0.042382487424657,
"BIGC","Diptera","Psychodidae","Maruina","larva","Maruina",0.00145396939969729,
"BIGC","Diptera","Simuliidae","Prosimulium","larva","Prosimulium",0.102792403330054,
"BIGC","Diptera","Simuliidae","Simulium","larva","Simulium",0.166610755205363,0.237080076491506
"BIGC","Diptera","Simuliidae","Simulium","pupa","Simulium",0.0259862843425594,
"BIGC","Diptera","Simuliidae",,"larva","Simuliidae",0.0120851674376994,0.0241499380177448
"BIGC","Diptera","Simuliidae",,"pupa","Simuliidae",0.0491263515030549,0.0459323250269542
"BIGC","Diptera","Stratiomyidae",,"larva","Stratiomyidae",0.0180560427202959,0.0238426899913644
"BIGC","Diptera","Tabanidae",,"larva","Tabanidae",0.0116317551975784,
"BIGC","Diptera","Tipulidae","Antocha","larva","Antocha",0.201062395484104,0.30560943645062
"BIGC","Diptera","Tipulidae","Antocha","pupa","Antocha",0.098285546209869,0.0790588639121871
"BIGC","Diptera","Tipulidae","Cryptolabis","larva","Cryptolabis",0.645250542776667,1.30562615752441
"BIGC","Diptera","Tipulidae","Dicranota","larva","Dicranota",0.441866026961748,0.583045184559302
"BIGC","Diptera","Tipulidae","Gonomyia","larva","Gonomyia",0.0279876016636403,
"BIGC","Diptera","Tipulidae","Hexatoma","larva","Hexatoma",4.55704941883675,13.6198300276739
"BIGC","Diptera","Tipulidae","Limnophila","larva","Limnophila",0.154298299270769,0.155966645072256
"BIGC","Diptera","Tipulidae","Rhabdomastix","larva","Rhabdomastix",0.927898525113113,1.48122626816417
"BIGC","Diptera","Tipulidae","Tipula","larva","Tipula",0.180858295066,
"BIGC","Diptera","Tipulidae",,"larva","Tipulidae",0.166283236681187,0.33499266680957
"BIGC","Diptera","Tipulidae",,"pupa","Tipulidae",0.0469783781168025,
"BIGC","Ephemeroptera","Ameletidae","Ameletus","larva","Ameletus",0.891741308942848,2.38117043694837
"BIGC","Ephemeroptera","Baetidae","Anafroptilum","larva","Anafroptilum",0.00455006714838676,
"BIGC","Ephemeroptera","Baetidae","Baetis","larva","Baetis",0.101384871622614,0.246220490758282
"BIGC","Ephemeroptera","Baetidae","Diphetor","larva","Diphetor",0.0772034075453788,0.201011707589951
"BIGC","Ephemeroptera","Baetidae",,"larva","Baetidae",0.0109520726732116,0.0139627484354749
"BIGC","Ephemeroptera","Caenidae","Caenis","larva","Caenis",0.001917,
"BIGC","Ephemeroptera","Ephemerellidae","Caudatella","larva","Caudatella",0.0349211756505807,0.0213250375625018
"BIGC","Ephemeroptera","Ephemerellidae","Drunella","larva","Drunella",0.18598247944139,0.335599759035135
"BIGC","Ephemeroptera","Ephemerellidae","Ephemerella","larva","Ephemerella",0.546923588225449,0.713660187934182
"BIGC","Ephemeroptera","Ephemerellidae","Matriella","larva","Matriella",0.0928812967053118,0.106151120185046
"BIGC","Ephemeroptera","Ephemerellidae","Serratella","larva","Serratella",0.842226701247494,1.27823487106399
"BIGC","Ephemeroptera","Ephemerellidae",,"larva","Ephemerellidae",0.167519229635142,0.326794849208597
"BIGC","Ephemeroptera","Heptageniidae","Cinygma","larva","Cinygma",0.11188693451255,0.215971565646943
"BIGC","Ephemeroptera","Heptageniidae","Cinygmula","larva","Cinygmula",0.104763873325379,0.0842969777968968
"BIGC","Ephemeroptera","Heptageniidae","Ecdyonurus","larva","Ecdyonurus",0.304757157894044,
"BIGC","Ephemeroptera","Heptageniidae","Epeorus","larva","Epeorus",0.086423096038499,0.13049258112036
"BIGC","Ephemeroptera","Heptageniidae","Ironodes","larva","Ironodes",0.456347053748512,0.494919224578262
"BIGC","Ephemeroptera","Heptageniidae","Rhithrogena","larva","Rhithrogena",0.0659367529217541,0.0707665474411898
"BIGC","Ephemeroptera","Heptageniidae",,"larva","Heptageniidae",0.044723249190813,0.078608773786596
"BIGC","Ephemeroptera","Leptohyphidae","Tricorythodes","larva","Tricorythodes",0.110622399326501,0.180839001398133
"BIGC","Ephemeroptera","Leptophlebiidae","Neoleptophlebia","larva","Neoleptophlebia",0.16961925341819,0.189702163039049
"BIGC","Ephemeroptera","Leptophlebiidae","Paraleptophlebia","larva","Paraleptophlebia",0.13244700223826,0.165841464519136
"BIGC","Ephemeroptera","Leptophlebiidae",,"larva","Leptophlebiidae",0.166809360677988,0.383454943627756
"BIGC","Ephemeroptera","Siphlonuridae",,"larva","Siphlonuridae",0.00455006714838676,
"BIGC","Hemiptera","Gerridae",,"larva","Gerridae",0.120853703532555,0.110069574042544
"BIGC","Hemiptera","Veliidae","Microvelia","adult","Microvelia",0.470248064861146,
"BIGC","Hemiptera","Veliidae","Microvelia","larva","Microvelia",0.00646669343696327,
"BIGC","Megaloptera","Corydalidae",,"larva","Corydalidae",2.69974406905537,3.69342441998614
"BIGC","Megaloptera","Sialidae","Sialis","larva","Sialis",0.061375670158774,0.0335875580463165
"BIGC","Plecoptera","Capniidae",,"larva","Capniidae",0.0505474197125128,0.0797435673589492
"BIGC","Plecoptera","Chloroperlidae","Sweltsa","larva","Sweltsa",0.664714800394974,0.695582770562722
"BIGC","Plecoptera","Chloroperlidae",,"larva","Chloroperlidae",0.0788541343694985,0.10398270891842
"BIGC","Plecoptera","Leuctridae","Paraleuctra","larva","Paraleuctra",0.259704925969224,
"BIGC","Plecoptera","Leuctridae",,"larva","Leuctridae",0.548438985839543,0.721164779843332
"BIGC","Plecoptera","Nemouridae","Soyedina","larva","Soyedina",0.0342419289250366,
"BIGC","Plecoptera","Nemouridae","Zapada","larva","Zapada",0.0573237100189471,0.0759119360909823
"BIGC","Plecoptera","Nemouridae",,"larva","Nemouridae",0.00423,0.00538391103195437
"BIGC","Plecoptera","Perlidae","Calineuria","larva","Calineuria",5.51370936965842,10.5886300610158
"BIGC","Plecoptera","Perlidae",,"larva","Perlidae",0.640804305223616,1.11935045612721
"BIGC","Plecoptera","Perlodidae","Cultus","larva","Cultus",0.736683467701059,0.787563465386605
"BIGC","Plecoptera","Perlodidae","Isoperla","larva","Isoperla",0.115685870899081,0.105620425908544
"BIGC","Plecoptera","Perlodidae",,"larva","Perlodidae",0.2655718183442,0.554695370836527
"BIGC","Plecoptera","Taeniopterygidae",,"larva","Taeniopterygidae",0.006768,
"BIGC","Trichoptera","Brachycentridae","Amiocentrus","larva","Amiocentrus",0.117013488859736,0.261879355756741
"BIGC","Trichoptera","Brachycentridae","Micrasema","larva","Micrasema",0.281043023081748,0.619575119042762
"BIGC","Trichoptera","Brachycentridae",,"larva","Brachycentridae",0.0104832,0.0105081280540351
"BIGC","Trichoptera","Calamoceratidae","Heteroplectron","larva","Heteroplectron",1.05829689761811,2.05124481041332
"BIGC","Trichoptera","Glossosomatidae","Agapetus","larva","Agapetus",0.116851100984588,0.370946013281671
"BIGC","Trichoptera","Glossosomatidae","Glossosoma","larva","Glossosoma",0.0468811273318371,0.0254999715738554
"BIGC","Trichoptera","Glossosomatidae",,"larva","Glossosomatidae",0.02044,0.058042366027908
"BIGC","Trichoptera","Glossosomatidae",,"pupa","Glossosomatidae",0.41629601778697,0.317311093750729
"BIGC","Trichoptera","Hydropsychidae","Hydropsyche","larva","Hydropsyche",1.30494480521328,2.39580009948696
"BIGC","Trichoptera","Hydropsychidae","Parapsyche","larva","Parapsyche",6.19065016251373,
"BIGC","Trichoptera","Hydropsychidae",,"larva","Hydropsychidae",0.0974658511829131,0.292625439581246
"BIGC","Trichoptera","Hydropsychidae",,"pupa","Hydropsychidae",1.73940430567741,
"BIGC","Trichoptera","Hydroptilidae","Hydroptila","larva","Hydroptila",0.194942376661558,0.449444926664432
"BIGC","Trichoptera","Hydroptilidae",,"larva","Hydroptilidae",0.012264,0.0147651356918926
"BIGC","Trichoptera","Hydroptilidae",,"pupa","Hydroptilidae",0.1372157227898,0.0925199873658687
"BIGC","Trichoptera","Lepidostomatidae","Lepidostoma","larva","Lepidostoma",0.269108059951778,0.548562014440717
"BIGC","Trichoptera","Leptoceridae","Mystacides","larva","Mystacides",0.0830166097442678,0.070019039695479
"BIGC","Trichoptera","Leptoceridae","Oecetis","larva","Oecetis",0.0418069038898647,0.0469779963168301
"BIGC","Trichoptera","Limnephilidae",,"larva","Limnephilidae",0.0372054283621162,0.0131606958345329
"BIGC","Trichoptera","Philopotamidae","Wormaldia","larva","Wormaldia",0.966862848667,1.67908161856018
"BIGC","Trichoptera","Philopotamidae",,"pupa","Philopotamidae",0.0815834254805504,
"BIGC","Trichoptera","Polycentropodidae","Polycentropus","larva","Polycentropus",0.547288486639144,0.584429024343613
"BIGC","Trichoptera","Psychomyiidae","Tinodes","larva","Tinodes",0.16713040655805,0.175269113267372
"BIGC","Trichoptera","Psychomyiidae",,"larva","Psychomyiidae",0.0529156578504598,0.0541638955663695
"BIGC","Trichoptera","Rhyacophilidae","Rhyacophila","larva","Rhyacophila",2.21262809739591,4.4156442015211
"BIGC","Trichoptera","Sericostomatidae","Gumaga","larva","Gumaga",0.110709026645682,0.215087999331247
"BIGC","Trichoptera","Uenoidae","Neophylax","larva","Neophylax",0.252751573352575,
"BLDE","Coleoptera","Dytiscidae","Boreonectes","adult","Boreonectes",0.262303443238251,0.0529932981263851
"BLDE","Coleoptera","Dytiscidae","Oreodytes","larva","Oreodytes",0.0508484056947137,
"BLDE","Coleoptera","Dytiscidae",,"larva","Dytiscidae",0.0103458854189565,0.0131888222515699
"BLDE","Coleoptera","Elmidae","Cleptelmis","adult","Cleptelmis",0.0270853134325409,0.01445359510875
"BLDE","Coleoptera","Elmidae","Cleptelmis","larva","Cleptelmis",0.0591380571226704,0.106210553159768
"BLDE","Coleoptera","Elmidae","Heterlimnius","adult","Heterlimnius",0.253827861439153,0.201331446815673
"BLDE","Coleoptera","Elmidae","Heterlimnius","larva","Heterlimnius",1.29491332629966,2.13983969536604
"BLDE","Coleoptera","Elmidae","Narpus","larva","Narpus",0.83096064939783,1.86619048282515
"BLDE","Coleoptera","Elmidae","Optioservus","adult","Optioservus",0.0949122752154225,0.0975385447761793
"BLDE","Coleoptera","Elmidae","Optioservus","larva","Optioservus",0.445180197749217,0.895378568465457
"BLDE","Coleoptera","Elmidae",,"adult","Elmidae",0.0969709885344592,0.0854486815059772
"BLDE","Coleoptera","Elmidae",,"larva","Elmidae",0.267509550883871,0.543720525937305
"BLDE","Diptera","Ceratopogonidae","Bezzia/Palpomyia","larva","Bezzia/Palpomyia",0.161378355258962,0.173838986140278
"BLDE","Diptera","Ceratopogonidae",,"larva","Ceratopogonidae",0.285489793990906,0.577768914437127
"BLDE","Diptera","Chironomidae","Brillia","larva","Brillia",0.0397726246935984,0.0670960919063694
"BLDE","Diptera","Chironomidae","Brundiniella","larva","Brundiniella",0.00866209478085314,
"BLDE","Diptera","Chironomidae","Cladotanytarsus","larva","Cladotanytarsus",0.0341057687300454,0.0908122096593239
"BLDE","Diptera","Chironomidae","Cladotanytarsus","pupa","Cladotanytarsus",0.00558194551544414,0.00367721108755658
"BLDE","Diptera","Chironomidae","Constempellina","larva","Constempellina",0.00750337759878918,0.0105516304323948
"BLDE","Diptera","Chironomidae","Corynoneura","larva","Corynoneura",0.052713851022024,0.296350258420383
"BLDE","Diptera","Chironomidae","Corynoneura","pupa","Corynoneura",0.00529837134372131,0.00621394531341889
"BLDE","Diptera","Chironomidae","Cricotopus","larva","Cricotopus",0.13135091371433,0.175059721442903
"BLDE","Diptera","Chironomidae","Cricotopus","pupa","Cricotopus",0.0613821098319117,0.0838703477720692
"BLDE","Diptera","Chironomidae","Cricotopus/Orthocladius","larva","Cricotopus/Orthocladius",0.110890608385487,0.15032106611044
"BLDE","Diptera","Chironomidae","Diamesa","larva","Diamesa",0.0391445040345336,0.0723499168160591
"BLDE","Diptera","Chironomidae","Diplocladius","larva","Diplocladius",0.0467789529103613,0.0130054620625865
"BLDE","Diptera","Chironomidae","Doncricotopus","larva","Doncricotopus",0.00225,
"BLDE","Diptera","Chironomidae","Eukiefferiella","larva","Eukiefferiella",0.027120032892268,0.0476812277294264
"BLDE","Diptera","Chironomidae","Eukiefferiella","pupa","Eukiefferiella",0.0159936633966702,0.0102811162216369
"BLDE","Diptera","Chironomidae","Heleniella","larva","Heleniella",0.0313072505552788,0.0326986649245056
"BLDE","Diptera","Chironomidae","Heterotrissocladius","larva","Heterotrissocladius",0.0482579352751714,0.0286665807072546
"BLDE","Diptera","Chironomidae","Hydrobaenus","larva","Hydrobaenus",0.0159964951967632,0.017899495695336
"BLDE","Diptera","Chironomidae","Krenosmittia","larva","Krenosmittia",0.0101160641805504,0.0101938286733163
"BLDE","Diptera","Chironomidae","Krenosmittia","pupa","Krenosmittia",0.00324543879939459,0.00363514941135384
"BLDE","Diptera","Chironomidae","Larsia","larva","Larsia",0.0341620689992031,0.0403115268533092
"BLDE","Diptera","Chironomidae","Larsia","pupa","Larsia",0.00433104739042657,
"BLDE","Diptera","Chironomidae","Limnophyes","larva","Limnophyes",0.00604087759878918,0.00790669492577558
"BLDE","Diptera","Chironomidae","Lopescladius","larva","Lopescladius",0.00581587759878918,
"BLDE","Diptera","Chironomidae","Metriocnemus","larva","Metriocnemus",0.00581587759878918,
"BLDE","Diptera","Chironomidae","Micropsectra","larva","Micropsectra",0.10841087046023,0.148472166515097
"BLDE","Diptera","Chironomidae","Micropsectra","pupa","Micropsectra",0.0669219264364182,0.0583731832633208
"BLDE","Diptera","Chironomidae","Monodiamesa","larva","Monodiamesa",0.0173241895617063,
"BLDE","Diptera","Chironomidae","Nanocladius","larva","Nanocladius",0.0160970647520061,0.0110462951348468
"BLDE","Diptera","Chironomidae","Nanocladius","pupa","Nanocladius",0.00872381639818377,
"BLDE","Diptera","Chironomidae","Neozavrelia","larva","Neozavrelia",0.004425,0.00213848661440749
"BLDE","Diptera","Chironomidae","Odontomesa","larva","Odontomesa",0.142924563884077,
"BLDE","Diptera","Chironomidae","Orthocladius","larva","Orthocladius",0.055244257623188,0.0937137540535913
"BLDE","Diptera","Chironomidae","Orthocladius","pupa","Orthocladius",0.0209601949406697,0.021422375397617
"BLDE","Diptera","Chironomidae","Pagastia","larva","Pagastia",0.0594328386993793,0.0697148791221025
"BLDE","Diptera","Chironomidae","Parakiefferiella","larva","Parakiefferiella",0.010324138052994,0.00869971182997958
"BLDE","Diptera","Chironomidae","Parakiefferiella","pupa","Parakiefferiella",0.0203555715957621,
"BLDE","Diptera","Chironomidae","Parametriocnemus","larva","Parametriocnemus",0.0825816849741702,0.0744777388730302
"BLDE","Diptera","Chironomidae","Parametriocnemus","pupa","Parametriocnemus",0.0238207606473461,0.00306251297941093
"BLDE","Diptera","Chironomidae","Paraphaenocladius","larva","Paraphaenocladius",0.00145396939969729,
"BLDE","Diptera","Chironomidae","Paratendipes","larva","Paratendipes",0.0342641344433513,
"BLDE","Diptera","Chironomidae","Parorthocladius","larva","Parorthocladius",0.008911460031209,0.00900681025789989
"BLDE","Diptera","Chironomidae","Parorthocladius","pupa","Parorthocladius",0.0216552369521329,
"BLDE","Diptera","Chironomidae","Pentaneura","larva","Pentaneura",0.0370416021579857,0.0416710315331909
"BLDE","Diptera","Chironomidae","Polypedilum","larva","Polypedilum",0.802748711822375,6.15001332599246
"BLDE","Diptera","Chironomidae","Potthastia","larva","Potthastia",0.0267017954680069,0.0270264165852669
"BLDE","Diptera","Chironomidae","Radotanypus","larva","Radotanypus",0.102024410225331,0.0945348602020553
"BLDE","Diptera","Chironomidae","Rheocricotopus","larva","Rheocricotopus",0.0729833303336454,0.117743892468838
"BLDE","Diptera","Chironomidae","Rheocricotopus","pupa","Rheocricotopus",0.0226451237577079,0.0115401971885973
"BLDE","Diptera","Chironomidae","Rheosmittia","larva","Rheosmittia",0.01362733335001,0.0152640393950975
"BLDE","Diptera","Chironomidae","Rheosmittia","pupa","Rheosmittia",0.00832594259106358,0.00707222036836693
"BLDE","Diptera","Chironomidae","Rheotanytarsus","larva","Rheotanytarsus",0.0212388474331794,0.0296351651830613
"BLDE","Diptera","Chironomidae","Rheotanytarsus","pupa","Rheotanytarsus",0.0202115544886573,0.0132315683367138
"BLDE","Diptera","Chironomidae","Stempellina","larva","Stempellina",0.00135,
"BLDE","Diptera","Chironomidae","Stempellinella","larva","Stempellinella",0.0103740226753289,0.0164087537993213
"BLDE","Diptera","Chironomidae","Sublettea","larva","Sublettea",0.144006272901649,0.692149954485244
"BLDE","Diptera","Chironomidae","Sublettea","pupa","Sublettea",0.0145396939969729,
"BLDE","Diptera","Chironomidae","Synorthocladius","larva","Synorthocladius",0.0207930747566682,0.0176136799717552
"BLDE","Diptera","Chironomidae","Tanytarsus","larva","Tanytarsus",0.00878101377189872,0.0119792068964781
