"SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","TaxonomicKingdom.OrganismStoichiometry","order","family","genus","invertebrateLifeStage","OrganismSizeNotes.OrganismStoichiometry","C","CarbonUnits.OrganismStoichiometry","N","NitrogenUnits.OrganismStoichiometry","P","PhosphorusUnits.OrganismStoichiometry","CN","CP","NP","siteID"
2022-10-03,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Hydropsyche","larva",,51,"percent_dm",7.9,"percent_dm",,,7.53164557,,,"MART"
2022-10-03,"martha creek neon",45.79233,-121.929416,"Stream","Insecta","Animalia","Ephemeroptera","Ameletidae","Ameletus","larva",,58.1,"percent_dm",6,"percent_dm",,,11.29722222,,,"MART"
2022-10-03,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Diptera","Ptychopteridae","Ptychoptera","larva","average of all individuals",27.6,"percent_dm",5.2,"percent_dm",0.6,"percent_dm",6.19230769,118.83333333,19.19047619,"REDB"
2022-10-03,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,40.1,"percent_dm",7.3,"percent_dm",,,6.4086758,,,"REDB"
2022-10-03,"red butte creek neon",40.784627,-111.796265,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Cleptelmis","larva",,51.8,"percent_dm",8.6,"percent_dm",,,7.02713178,,,"REDB"
2022-09-27,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,47.9,"percent_dm",11.1,"percent_dm",,,5.03453453,,,"KING"
2022-09-27,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Trichoptera","Polycentropodidae","Polycentropus","larva",,51.2,"percent_dm",11.5,"percent_dm",,,5.1942029,,,"KING"
2022-09-27,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Diptera",,,"pupa",,45.9,"percent_dm",9.7,"percent_dm",,,5.52061856,,,"KING"
2022-09-27,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,43.2,"percent_dm",7.8,"percent_dm",0.2,"percent_dm",6.46153846,558,86.35714286,"KING"
2022-09-27,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Trichoptera","Hydroptilidae","Hydroptila","larva",,53.3,"percent_dm",6.3,"percent_dm",,,9.87037037,,,"KING"
2022-09-26,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,47.1,"percent_dm",9.1,"percent_dm",0.39,"percent_dm",6.03846154,311.9871795,51.66666667,"MCDI"
2022-09-26,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Caenidae","Caenis","larva","average of all individuals",41.6,"percent_dm",9.1,"percent_dm",0.29,"percent_dm",5.33333333,370.5747126,69.48275862,"MCDI"
2022-09-26,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae",,"larva",,45.1,"percent_dm",11.9,"percent_dm",,,4.42156863,,,"MCDI"
2022-09-26,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Stenacron","larva","average of all individuals",39.5,"percent_dm",5.8,"percent_dm",0.28,"percent_dm",7.9454023,364.4345238,45.86734694,"MCDI"
2022-09-26,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,45.2,"percent_dm",10.9,"percent_dm",,,4.83792049,,,"MCDI"
2022-09-20,"mcrae creek neon",44.258957,-122.165861,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Calineuria","larva",,51.5,"percent_dm",11.8,"percent_dm",0.22,"percent_dm",5.09180791,604.73484848,118.76623377,"MCRA"
2022-09-20,"mcrae creek neon",44.258957,-122.165861,"Stream","Insecta","Animalia","Trichoptera","Odontoceridae","Namamyia","larva",,48.8,"percent_dm",8.1,"percent_dm",,,7.02880658,,,"MCRA"
2022-09-20,"mcrae creek neon",44.258957,-122.165861,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Sweltsa","larva",,55.6,"percent_dm",7.4,"percent_dm",,,8.76576577,,,"MCRA"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Calineuria","larva","average of all individuals",51.6,"percent_dm",13,"percent_dm",0.32,"percent_dm",4.63076923,416.5625,89.95535714,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Trichoptera","Rhyacophilidae","Rhyacophila","larva","average of all individuals",54.1,"percent_dm",10.2,"percent_dm",0.53,"percent_dm",6.1879085,263.6949686,42.61455526,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Trichoptera","Philopotamidae","Dolophilodes","larva","average of all individuals",51.3,"percent_dm",10.5,"percent_dm",0.36,"percent_dm",5.7,368.125,64.58333333,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Trichoptera","Brachycentridae","Micrasema","larva",,56.6,"percent_dm",6.3,"percent_dm",,,10.48148148,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Narpus","larva","average of all individuals",49.8,"percent_dm",9.2,"percent_dm",0.35,"percent_dm",6.31521739,367.5714286,58.20408163,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,55.8,"percent_dm",17.4,"percent_dm",,,3.74137931,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Limoniidae","Antocha","larva",,48.5,"percent_dm",10.5,"percent_dm",,,5.38888889,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Simuliidae","Simulium","larva",,47.8,"percent_dm",9.7,"percent_dm",,,5.74914089,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Trichoptera",,,"pupa",,53.6,"percent_dm",13.6,"percent_dm",,,4.59803922,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Psychodidae",,"larva",,39,"percent_dm",6.4,"percent_dm",,,7.109375,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva","average of all individuals",53.1,"percent_dm",11.8,"percent_dm",0.5,"percent_dm",5.25,274.35,52.25714286,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Plecoptera","Nemouridae","Zapada","larva",,48.9,"percent_dm",11,"percent_dm",0.43,"percent_dm",5.18636364,293.7790698,56.64451827,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae",,"larva",,55.6,"percent_dm",8.6,"percent_dm",,,7.54263566,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva",,50.9,"percent_dm",9.9,"percent_dm",,,5.9983165,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Ironodes","larva",,51.8,"percent_dm",10.2,"percent_dm",,,5.9248366,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Drunella","larva",,50.1,"percent_dm",9.7,"percent_dm",,,6.0257732,,,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Plecoptera","Perlodidae",,"larva","average of all individuals",49.5,"percent_dm",11.7,"percent_dm",0.31,"percent_dm",4.93589744,412.5,83.57142857,"TECR"
2022-09-14,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Hydraenidae","Hydraena","adult",,49.6,"percent_dm",9.8,"percent_dm",,,5.9047619,,,"TECR"
2022-09-12,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Heterlimnius","larva","average of all individuals",48.1,"percent_dm",9,"percent_dm",0.27,"percent_dm",6.23518519,460.21604938,73.80952381,"WLOU"
2022-09-12,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva","average of all individuals",47.8,"percent_dm",6.8,"percent_dm",0.27,"percent_dm",8.20098039,457.34567901,55.76719577,"WLOU"
2022-09-12,"west st louis creek neon",39.891161,-105.914011,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Rhithrogena","larva","average of all individuals",42.7,"percent_dm",6,"percent_dm",0.4,"percent_dm",8.30277778,275.77083333,33.21428571,"WLOU"
2022-08-29,"oksrukuyik creek neon",68.669308,-149.144107,"Stream","Insecta","Animalia","Plecoptera","Chloroperlidae","Alaskaperla","larva",,51.3,"percent_dm",10.3,"percent_dm",,,5.81067961,,,"OKSR"
2022-08-29,"oksrukuyik creek neon",68.669308,-149.144107,"Stream","Insecta","Animalia","Plecoptera","Nemouridae","Nemoura","larva",,51.4,"percent_dm",9.6,"percent_dm",,,6.24652778,,,"OKSR"
2022-08-29,"oksrukuyik creek neon",68.669308,-149.144107,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cingymula","larva","average of all individuals",54.3,"percent_dm",8.3,"percent_dm",0.756,"percent_dm",7.63253012,185.5489418,24.31027967,"OKSR"
2022-08-15,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Cinygmula","larva",,45,"percent_dm",4.9,"percent_dm",0.51,"percent_dm",10.71428571,227.9411765,21.2745098,"CARI"
2022-08-15,"caribou creek neon",65.15308,-147.501997,"Stream","Insecta","Animalia","Trichoptera","Rhyacophilidae","Rhyacophila","larva",,47,"percent_dm",8.6,"percent_dm",,,6.37596899,,,"CARI"
2022-08-10,"black warrior river neon",32.54067,-87.79806,"River","Insecta","Animalia","Diptera","Chironomidae",,"larva","average of all individuals",48.1,"percent_dm",9.7,"percent_dm",0.765,"percent_dm",5.78522337,162.4291939,28.07656396,"BLWA"
2022-07-27,"lower tombigbee river neon",31.85382,-88.1573,"River","Insecta","Animalia","Trichoptera","Polycentropodidae","Cyrnellus","larva",,49.5,"percent_dm",12.3,"percent_dm",,,4.69512195,,,"TOMB"
2022-07-27,"lower tombigbee river neon",31.85382,-88.1573,"River","Insecta","Animalia","Diptera","Chironomidae",,"larva",,47.4,"percent_dm",10,"percent_dm",0.51,"percent_dm",5.53,240.09803922,43.41736695,"TOMB"
2022-07-20,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Psephenus","larva",,48.1,"percent_dm",11.1,"percent_dm",,,5.05555556,,,"LECO"
2022-07-20,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Trichoptera","Rhyacophilidae","Rhyacophila","larva",,49.8,"percent_dm",11,"percent_dm",,,5.28181818,,,"LECO"
2022-07-20,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Diplectrona","larva",,49.9,"percent_dm",10.7,"percent_dm",,,5.44080997,,,"LECO"
2022-07-20,"leconte creek neon",35.692201,-83.504427,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Leucrocuta","larva","average of all individuals",49,"percent_dm",8,"percent_dm",0.29,"percent_dm",7.14583333,436.49425287,61.08374384,"LECO"
2022-07-20,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Heptageniidae","Stenonema","larva","average of all individuals",39.9,"percent_dm",9.6,"percent_dm",0.74,"percent_dm",4.84895833,139.29054054,28.72586873,"MCDI"
2022-07-20,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,39.3,"percent_dm",8.3,"percent_dm",0.36,"percent_dm",5.52409639,282.01388889,51.0515873,"MCDI"
2022-07-20,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva","average of all individuals",38,"percent_dm",7.6,"percent_dm",0.446,"percent_dm",5.83333333,220.10463378,37.73222293,"MCDI"
2022-07-20,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva",,50.7,"percent_dm",8.8,"percent_dm",,,6.72159091,,,"MCDI"
2022-07-20,"mcdiffett creek neon",38.946553,-96.442948,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Fallceon","larva","average of all individuals",41.1,"percent_dm",6,"percent_dm",0.522,"percent_dm",7.99166667,203.40038314,25.45155993,"MCDI"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Dytiscidae",,"adult",,49.6,"percent_dm",11.7,"percent_dm",,,4.94586895,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Cleptelmis","larva",,52.5,"percent_dm",10.6,"percent_dm",,,5.77830189,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Optioservus","larva",,55,"percent_dm",8.5,"percent_dm",,,7.54901961,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Narpus","larva",,52.7,"percent_dm",10.2,"percent_dm",,,6.02777778,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Lara","larva",,52.3,"percent_dm",9.8,"percent_dm",0.23,"percent_dm",6.22619048,587.4275362,94.34782609,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Trichoptera","Calamoceratidae","Heteroplectron","larva",,51.1,"percent_dm",9.4,"percent_dm",0.86,"percent_dm",6.34219858,153.498062,24.20265781,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Diptera","Tipulidae","Tipula","larva",,45,"percent_dm",9.8,"percent_dm",0.7,"percent_dm",5.35714286,166.0714286,31,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Drunella","larva",,52.7,"percent_dm",9.6,"percent_dm",,,6.40451389,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Ephemerellidae","Ephemerella","larva",,53.9,"percent_dm",9.5,"percent_dm",,,6.61929825,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Ephemeroptera","Baetidae","Baetis","larva",,54,"percent_dm",10.7,"percent_dm",,,5.88785047,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Megaloptera","Sialidae","Sialis","larva",,48,"percent_dm",12.2,"percent_dm",,,4.59016393,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Hesperoperla","larva",,49.8,"percent_dm",12.3,"percent_dm",,,4.72357724,,,"TECR"
2022-07-20,"teakettle creek - watershed 2 neon",36.955312,-119.023204,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Cleptelmis","adult",,52.2,"percent_dm",9.8,"percent_dm",,,6.21428571,,,"TECR"
2022-07-19,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Trichoptera","Glossosomatidae","Glossosoma","larva",,47.5,"percent_dm",11.5,"percent_dm",,,4.81884058,,,"POSE"
2022-07-19,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Acroneuria","larva",,46.3,"percent_dm",10.9,"percent_dm",0.37,"percent_dm",4.95565749,323.26576577,65.23166023,"POSE"
2022-07-19,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Trichoptera","Uenoidae","Neophylax","larva",,51.4,"percent_dm",9.6,"percent_dm",0.623,"percent_dm",6.24652778,213.13536651,34.12061454,"POSE"
2022-07-19,"posey creek neon",38.89431,-78.147258,"Stream","Insecta","Animalia","Trichoptera","Hydropsychidae","Cheumatopsyche","larva",,47.3,"percent_dm",8.4,"percent_dm",,,6.56944444,,,"POSE"
2022-07-19,"kings creek neon",39.105069,-96.603387,"Stream","Insecta","Animalia","Diptera","Limoniidae","Hexatoma","larva",,54.5,"percent_dm",10.3,"percent_dm",,,6.17313916,,,"KING"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Lepidoptera","Crambidae","Petrophila","larva",,49.1,"percent_dm",11.6,"percent_dm",,,4.93821839,,,"CUPE"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Trichoptera","Hydrobiosidae","Atopsyche","larva",,51.8,"percent_dm",12.1,"percent_dm",,,4.99449036,,,"CUPE"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","adult","average of all individuals",50.2,"percent_dm",11,"percent_dm",0.36,"percent_dm",5.32424242,360.23148148,67.65873016,"CUPE"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Hexacylloepus","adult",,48.7,"percent_dm",10.6,"percent_dm",,,5.36006289,,,"CUPE"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Neoelmis","larva",,50.5,"percent_dm",9.9,"percent_dm",,,5.95117845,,,"CUPE"
2022-07-11,"rio cupeyes neon",18.110265,-66.986411,"Stream","Insecta","Animalia","Ephemeroptera","Leptophlebiidae","Neohagenulus","larva","average of all individuals",43.8,"percent_dm",7.3,"percent_dm",0.36,"percent_dm",7,314.30555556,44.90079365,"CUPE"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Plecoptera","Perlidae","Paragnetina","larva",,50.2,"percent_dm",12,"percent_dm",0.25,"percent_dm",4.88055556,518.73333333,106.28571429,"HOPB"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Trichoptera","Glossosomatidae","Glossosoma","larva",,45.7,"percent_dm",10,"percent_dm",,,5.33166667,,,"HOPB"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Trichoptera","Rhyacophilidae","Rhyacophila","larva",,49.9,"percent_dm",10.6,"percent_dm",0.51,"percent_dm",5.49213836,252.76143791,46.02240896,"HOPB"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Psephenus","larva",,47.1,"percent_dm",10,"percent_dm",0.48,"percent_dm",5.495,253.48958333,46.13095238,"HOPB"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Stenelmis","adult",,46.9,"percent_dm",9.9,"percent_dm",,,5.52693603,,,"HOPB"
2022-07-11,"lower hop brook neon",42.471373,-72.326803,"Stream","Insecta","Animalia","Plecoptera","Leuctridae","Leuctra","larva",,52.9,"percent_dm",9.6,"percent_dm",,,6.42881944,,,"HOPB"
2022-07-07,"flint river neon",31.184609,-84.438438,"River","Insecta","Animalia","Coleoptera","Elmidae","Macronychus","larva","average of all individuals",51.8,"percent_dm",10.3,"percent_dm",0.42,"percent_dm",5.86731392,318.61111111,54.30272109,"FLNT"
2022-07-07,"flint river neon",31.184609,-84.438438,"River","Insecta","Animalia","Ephemeroptera","Heptageniidae","Stenonema","larva",,39.7,"percent_dm",5.8,"percent_dm",,,7.98563218,,,"FLNT"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Psephenus","larva",,46.3,"percent_dm",9.6,"percent_dm",0.29,"percent_dm",5.62673611,412.4425287,73.30049261,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Plecoptera","Leuctridae","Leuctra","larva",,39.5,"percent_dm",7,"percent_dm",0.35,"percent_dm",6.58333333,291.547619,44.28571429,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Trichoptera","Polycentropodidae","Polycentropus","larva",,52.9,"percent_dm",11,"percent_dm",,,5.61060606,,,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Diptera","Chironomidae",,"larva",,53.5,"percent_dm",9.5,"percent_dm",,,6.57017544,,,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","adult",,51.4,"percent_dm",10,"percent_dm",,,5.99666667,,,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Psephenidae","Ectopria","larva",,51.3,"percent_dm",10.7,"percent_dm",,,5.59345794,,,"WALK"
2022-07-06,"walker branch neon",35.956053,-84.278692,"Stream","Insecta","Animalia","Coleoptera","Elmidae","Oulimnius","larva",,53.3,"percent_dm",9.1,"percent_dm",,,6.83333333,,,"WALK"
