"siteID","SampleDate.SampleEvent","Name.Site","Latitude.Site","Longitude.Site","EcosystemType.Site","Type.OrganismStoichiometry","CarbonMean.OrganismStoichiometry","CarbonUnits.OrganismStoichiometry","NitrogenMean.OrganismStoichiometry","NitrogenUnits.OrganismStoichiometry","PhosphorusMean.OrganismStoichiometry","PhosphorusUnits.OrganismStoichiometry","CarbonToNitrogenRatio.OrganismStoichiometry","CarbonToPhosphorusRatio.OrganismStoichiometry","NitrogenToPhosphorusRatio.OrganismStoichiometry"
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",552.76397548,"ugC_cm2",49.82528055,"ugN_cm2",4.36492103,"ugP_cm2",12.93771221,326.57994458,25.24248022
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",434.81151288,"ugC_cm2",59.32418953,"ugN_cm2",2.57055278,"ugP_cm2",8.54745314,436.21508375,51.03451012
"MAYF",2019-11-14,"mayfield creek neon",32.960365,-87.407688,"Stream","Periphyton",757.38954697,"ugC_cm2",44.79800499,"ugN_cm2",2.90315877,"ugP_cm2",19.71642362,672.78250544,34.12294838
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",75.95142352,"ugC_cm2",18.01579385,"ugN_cm2",1.53278263,"ugP_cm2",4.91643183,127.78548309,25.99150918
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",135.52743142,"ugC_cm2",33.23934954,"ugN_cm2",1.91931629,"ugP_cm2",4.75490888,182.09869265,38.29698895
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",42.36247922,"ugC_cm2",9.86938903,"ugN_cm2",0.52836658,"ugP_cm2",5.00562842,206.7627007,41.30604255
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",99.4585931,"ugC_cm2",23.31483791,"ugN_cm2",3.70521613,"ugP_cm2",4.97482054,69.22372037,13.9148176
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",28.09912718,"ugC_cm2",8.87770158,"ugN_cm2",0.25763716,"ugP_cm2",3.69113386,281.26163826,76.19925177
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",33.38372818,"ugC_cm2",11.85027016,"ugN_cm2",0.37858479,"ugP_cm2",3.28529287,227.40386741,69.21875039
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",32.34050291,"ugC_cm2",6.52363882,"ugN_cm2",0.18386326,"ugP_cm2",5.78128485,453.60516058,78.46096018
"CUPE",2019-11-13,"rio cupeyes neon",18.11352,-66.98676,"Stream","Periphyton",65.22828346,"ugC_cm2",14.99812968,"ugN_cm2",1.49573982,"ugP_cm2",5.07184944,112.46206801,22.17377887
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",381.23534913,"ugC_cm2",82.06889027,"ugN_cm2",6.33250208,"ugP_cm2",5.4172903,155.25442678,28.65905612
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",282.0662926,"ugC_cm2",58.77192436,"ugN_cm2",5.00041563,"ugP_cm2",5.59691597,145.46926914,25.99096893
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",292.66967997,"ugC_cm2",62.55694098,"ugN_cm2",5.47901081,"ugP_cm2",5.45594189,137.75321577,25.24829231
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",176.5693059,"ugC_cm2",47.62427265,"ugN_cm2",3.53428928,"ugP_cm2",4.32368814,128.83660944,29.79784973
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",518.98243973,"ugC_cm2",103.97059435,"ugN_cm2",8.87125935,"ugP_cm2",5.82116144,150.86675793,25.91695135
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",530.63642976,"ugC_cm2",114.34549044,"ugN_cm2",9.61689526,"ugP_cm2",5.41184723,142.29457618,26.29316206
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",378.98763508,"ugC_cm2",79.35712801,"ugN_cm2",7.91635495,"ugP_cm2",5.56937686,123.45990905,22.16763421
"GUIL",2019-11-07,"rio yahuecas neon",18.17406,-66.79868,"Stream","Periphyton",313.11918121,"ugC_cm2",70.24864921,"ugN_cm2",7.13009144,"ugP_cm2",5.19803504,113.25066051,21.78720608
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",496.79177057,"ugC_cm2",32.95589152,"ugN_cm2",23.62011638,"ugP_cm2",17.5795938,54.23985631,3.08538735
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",778.15887365,"ugC_cm2",44.21851621,"ugN_cm2",17.3765586,"ugP_cm2",20.52256389,115.48635524,5.62728692
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",642.5225478,"ugC_cm2",50.82263092,"ugN_cm2",19.69981297,"ugP_cm2",14.74343695,84.11093102,5.70497444
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",476.46898379,"ugC_cm2",63.29686201,"ugN_cm2",10.46550291,"ugP_cm2",8.77849291,117.40881443,13.37459809
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",561.31062968,"ugC_cm2",58.86538861,"ugN_cm2",17.69482544,"ugP_cm2",11.1201529,81.80562262,7.35651959
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",240.28239727,"ugC_cm2",29.69512041,"ugN_cm2",47.50863085,"ugP_cm2",9.43635722,13.04294347,1.38220111
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",314.03734422,"ugC_cm2",35.35279134,"ugN_cm2",18.85382284,"ugP_cm2",10.35917318,42.95443831,4.14651223
"POSE",2019-11-06,"posey creek neon",38.89431,-78.147258,"Stream","Periphyton",290.20413018,"ugC_cm2",31.7757452,"ugN_cm2",58.44091024,"ugP_cm2",10.65063134,12.80597907,1.20236807
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",333.28122402,"ugC_cm2",55.01646924,"ugN_cm2",2.99490856,"ugP_cm2",7.06456848,286.98120218,40.62260884
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",456.997766,"ugC_cm2",57.64079385,"ugN_cm2",3.15440565,"ugP_cm2",9.24595193,373.61362443,40.40834598
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",214.52098919,"ugC_cm2",39.27208022,"ugN_cm2",1.21690565,"ugP_cm2",6.37020476,454.61007141,71.36506417
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",217.35271197,"ugC_cm2",39.75259767,"ugN_cm2",1.86793433,"ugP_cm2",6.37627527,300.07487207,47.06115396
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",261.92373234,"ugC_cm2",43.59684123,"ugN_cm2",2.18298005,"ugP_cm2",7.00627749,309.42204656,44.16354431
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",471.61788238,"ugC_cm2",49.89941812,"ugN_cm2",2.20895677,"ugP_cm2",11.0220478,550.59113762,49.95361549
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",457.88881962,"ugC_cm2",47.52202826,"ugN_cm2",3.45609933,"ugP_cm2",11.23653939,341.66460752,30.40656875
"WALK",2019-10-29,"walker branch neon",35.957378,-84.279251,"Stream","Periphyton",689.86081671,"ugC_cm2",63.67295303,"ugN_cm2",2.87951995,"ugP_cm2",12.63496356,617.82795748,48.89827776
"BLWA",2019-10-28,"black warrior river neon",32.536801,-87.800432,"River","Periphyton",152.62910432,"ugC_cm2",20.83821696,"ugN_cm2",6.67721322,"ugP_cm2",8.54169987,58.94789233,6.90118983
"BLWA",2019-10-28,"black warrior river neon",32.540759,-87.798311,"River","Periphyton",480.98181629,"ugC_cm2",52.09549044,"ugN_cm2",5.8516729,"ugP_cm2",10.76703276,211.97018877,19.68696422
"BLWA",2019-10-28,"black warrior river neon",32.545086,-87.798338,"River","Periphyton",569.89650873,"ugC_cm2",68.0097153,"ugN_cm2",6.84190565,"ugP_cm2",9.77220451,214.80534596,21.98125774
"BLWA",2019-10-28,"black warrior river neon",32.54276,-87.796706,"River","Periphyton",485.96571072,"ugC_cm2",63.03449709,"ugN_cm2",13.8177473,"ugP_cm2",8.99072765,90.69734025,10.08787539
"BLWA",2019-10-28,"black warrior river neon",32.538258,-87.798136,"River","Periphyton",606.49194722,"ugC_cm2",63.05335619,"ugN_cm2",6.70672278,"ugP_cm2",11.21719677,233.20660904,20.79009701
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",549.7847049,"ugC_cm2",53.27000208,"ugN_cm2",8.60712801,"ugP_cm2",12.03586886,164.72539652,13.68620732
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",556.15030133,"ugC_cm2",68.62240233,"ugN_cm2",6.71862012,"ugP_cm2",9.45134827,213.47069364,22.58626892
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",575.43640898,"ugC_cm2",67.04686201,"ugN_cm2",8.41064007,"ugP_cm2",10.00890087,176.438948,17.62820416
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",313.80073257,"ugC_cm2",19.49894746,"ugN_cm2",28.4228065,"ugP_cm2",18.76766711,28.47168466,1.5170604
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",309.47006568,"ugC_cm2",20.73065426,"ugN_cm2",48.87870495,"ugP_cm2",17.40897277,16.32770431,0.93789016
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",291.79930111,"ugC_cm2",30.69413102,"ugN_cm2",12.20751937,"ugP_cm2",11.0865498,61.6428906,5.56015097
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",246.76412513,"ugC_cm2",26.82790923,"ugN_cm2",26.33767683,"ugP_cm2",10.72661519,24.16188025,2.25251674
"LEWI",2019-10-22,"lewis run neon",39.095637,-77.983216,"Stream","Periphyton",194.43103739,"ugC_cm2",16.75738885,"ugN_cm2",12.52637673,"ugP_cm2",13.53090215,40.02822155,2.9582818
"PRIN",2019-10-22,"pringle creek neon",33.378517,-97.782312,"Stream","Periphyton",640.24928259,"ugC_cm2",75.91800017,"ugN_cm2",11.6365064,"ugP_cm2",9.83494303,141.89028406,14.42715872
"PRIN",2019-10-22,"pringle creek neon",33.378517,-97.782312,"Stream","Periphyton",666.96740148,"ugC_cm2",67.07104075,"ugN_cm2",7.4119771,"ugP_cm2",11.5967707,232.05808801,20.01057829
"PRIN",2019-10-22,"pringle creek neon",33.378517,-97.782312,"Stream","Periphyton",695.3064062,"ugC_cm2",61.48165712,"ugN_cm2",11.64852812,"ugP_cm2",13.18858412,153.93286358,11.6716747
"PRIN",2019-10-22,"pringle creek neon",33.378517,-97.782312,"Stream","Periphyton",391.18377063,"ugC_cm2",59.35699731,"ugN_cm2",4.76332098,"ugP_cm2",7.68557585,211.78595264,27.55628945
"PRIN",2019-10-22,"pringle creek neon",33.378517,-97.782312,"Stream","Periphyton",318.89781239,"ugC_cm2",61.13758841,"ugN_cm2",5.29107107,"ugP_cm2",6.08290093,155.42973821,25.55191016
"FLNT",2019-10-15,"flint river neon",31.186885,-84.435329,"River","Periphyton",275.10300185,"ugC_cm2",6.1641546,"ugN_cm2",3.80978444,"ugP_cm2",52.04623454,186.21775905,3.57792952
"FLNT",2019-10-15,"flint river neon",31.183373,-84.438931,"River","Periphyton",78.79578562,"ugC_cm2",5.80338498,"ugN_cm2",22.08007747,"ugP_cm2",15.83394442,9.20298189,0.58121853
"FLNT",2019-10-15,"flint river neon",31.182647,-84.44158,"River","Periphyton",150.02220866,"ugC_cm2",20.17175396,"ugN_cm2",5.76290418,"ugP_cm2",8.67320078,67.13366034,7.74035584
"FLNT",2019-10-15,"flint river neon",31.185744,-84.437733,"River","Periphyton",219.99189542,"ugC_cm2",4.46652913,"ugN_cm2",10.19312058,"ugP_cm2",57.43862274,55.6577557,0.9689953
"FLNT",2019-10-15,"flint river neon",31.18921,-84.434636,"River","Periphyton",300.82003621,"ugC_cm2",6.22092876,"ugN_cm2",22.54601718,"ugP_cm2",56.39220008,34.40829048,0.61016046
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",454.90461347,"ugC_cm2",19.46254156,"ugN_cm2",6.49002494,"ugP_cm2",27.25764279,180.75908991,6.63150117
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",276.66012053,"ugC_cm2",19.84767249,"ugN_cm2",5.61253117,"ugP_cm2",16.25565541,127.12002396,7.82004913
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",202.53096426,"ugC_cm2",38.54670615,"ugN_cm2",7.4600478,"ugP_cm2",6.12733556,70.01256529,11.42626589
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",507.09206151,"ugC_cm2",42.28584788,"ugN_cm2",7.28267872,"ugP_cm2",13.98489713,179.56505832,12.83992701
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",282.38767664,"ugC_cm2",48.34954281,"ugN_cm2",7.3440877,"ugP_cm2",6.81115676,99.15943792,14.55838434
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",208.65705528,"ugC_cm2",36.90549667,"ugN_cm2",4.52052161,"ugP_cm2",6.59340157,119.03390862,18.0534899
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",387.99516833,"ugC_cm2",55.57725478,"ugN_cm2",7.97293225,"ugP_cm2",8.14135578,125.49730912,15.4147924
"BLUE",2019-10-15,"blue river neon",34.444218,-96.624201,"River","Periphyton",342.36008936,"ugC_cm2",46.72537406,"ugN_cm2",8.43427889,"ugP_cm2",8.54472031,104.6794288,12.25077299
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",550.23831047,"ugC_cm2",49.73119285,"ugN_cm2",18.49828554,"ugP_cm2",12.90296312,76.70885786,5.94505751
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",492.69628013,"ugC_cm2",72.51194929,"ugN_cm2",10.03605569,"ugP_cm2",7.92386761,126.60253185,15.97736587
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",223.92030341,"ugC_cm2",50.11357024,"ugN_cm2",5.97942643,"ugP_cm2",5.21081479,96.57397718,18.53337359
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",452.87229842,"ugC_cm2",87.99599958,"ugN_cm2",9.58483998,"ugP_cm2",6.00178363,121.84762255,20.30190191
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",332.75659809,"ugC_cm2",65.81759144,"ugN_cm2",7.27358687,"ugP_cm2",5.89592836,117.97886565,20.01022714
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",280.85952762,"ugC_cm2",18.90002947,"ugN_cm2",51.24722129,"ugP_cm2",17.3298254,14.13334659,0.81555043
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",171.66636494,"ugC_cm2",13.63826204,"ugN_cm2",2.91842792,"ugP_cm2",14.67890595,151.69190646,10.33400629
"LECO",2019-10-15,"leconte creek neon",35.690428,-83.50379,"Stream","Periphyton",291.11975834,"ugC_cm2",18.55010104,"ugN_cm2",3.22351802,"ugP_cm2",18.30176228,232.89906774,12.72549956
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",684.18568163,"ugC_cm2",36.72532211,"ugN_cm2",11.23119285,"ugP_cm2",21.72580489,157.09930616,7.23100051
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",580.16588736,"ugC_cm2",47.94368246,"ugN_cm2",10.01527431,"ugP_cm2",14.11199158,149.3879305,10.58588574
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",269.99314214,"ugC_cm2",13.55403159,"ugN_cm2",5.22256858,"ugP_cm2",23.23013572,133.31983025,5.7390896
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",580.1863422,"ugC_cm2",124.98014904,"ugN_cm2",123.96202425,"ugP_cm2",5.41369732,12.06993724,2.2295183
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",584.40887083,"ugC_cm2",33.61580077,"ugN_cm2",20.59908639,"ugP_cm2",20.27406553,73.16359059,3.60872813
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",665.17102189,"ugC_cm2",39.36885147,"ugN_cm2",19.67284001,"ugP_cm2",19.70371347,87.19517049,4.42531661
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",550.30247087,"ugC_cm2",32.39388077,"ugN_cm2",43.3056706,"ugP_cm2",19.81098143,32.7704847,1.65415756
"REDB",2019-10-07,"red butte creek neon",40.783934,-111.797887,"Stream","Periphyton",578.46444123,"ugC_cm2",36.22120344,"ugN_cm2",19.12351667,"ugP_cm2",18.62435751,78.00726997,4.18845428
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",44.91402081,"ugC_cm2",5.84036941,"ugN_cm2",0.98712647,"ugP_cm2",8.96827932,117.33708898,13.08356763
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",2842.60600055,"ugC_cm2",354.9995814,"ugN_cm2",2.20598688,"ugP_cm2",9.33805301,3323.07324653,355.86360915
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",81.17230898,"ugC_cm2",9.64160571,"ugN_cm2",1.85310616,"ugP_cm2",9.8180681,112.96236362,11.50555919
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",28.9131902,"ugC_cm2",3.32221577,"ugN_cm2",0.6561455,"ugP_cm2",10.14929056,113.63759332,11.1966046
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",39.60352828,"ugC_cm2",4.03607074,"ugN_cm2",1.02907401,"ugP_cm2",11.44307164,99.24609773,8.67302949
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",372.81715594,"ugC_cm2",43.42177669,"ugN_cm2",6.76764736,"ugP_cm2",10.01280612,142.06409816,14.18824018
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",453.18168575,"ugC_cm2",50.54061974,"ugN_cm2",13.03686763,"ugP_cm2",10.45681188,89.6448335,8.57286471
"ARIK",2019-10-07,"arikaree river neon",39.758206,-102.447148,"Stream","Periphyton",234.41076541,"ugC_cm2",32.22505473,"ugN_cm2",5.99056922,"ugP_cm2",8.48303769,100.91033151,11.89554204
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",401.44118869,"ugC_cm2",45.22207398,"ugN_cm2",18.12790524,"ugP_cm2",10.35235035,57.10846381,5.51647325
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",244.40845802,"ugC_cm2",28.84606193,"ugN_cm2",2.78008105,"ugP_cm2",9.88091599,226.71744799,22.94498285
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",358.97373234,"ugC_cm2",32.9472049,"ugN_cm2",7.72996675,"ugP_cm2",12.70608046,119.75984219,9.42539618
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",211.5728358,"ugC_cm2",18.46218609,"ugN_cm2",17.43790115,"ugP_cm2",13.36424075,31.28901318,2.34124884
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",127.52090603,"ugC_cm2",11.83277198,"ugN_cm2",11.25021219,"ugP_cm2",12.56789089,29.23121358,2.32586468
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",164.41385113,"ugC_cm2",12.9567809,"ugN_cm2",8.77764719,"ugP_cm2",14.79819666,48.30437328,3.26420674
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",179.43558909,"ugC_cm2",16.65744426,"ugN_cm2",12.80128259,"ugP_cm2",12.56225844,36.14775004,2.87748817
"BIGC",2019-10-01,"upper big creek neon",37.059719,-119.257549,"Stream","Periphyton",204.62866824,"ugC_cm2",18.60759852,"ugN_cm2",16.39462715,"ugP_cm2",12.82459498,32.1877859,2.50984814
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",495.95719036,"ugC_cm2",51.07439734,"ugN_cm2",18.64297589,"ugP_cm2",11.3242239,68.60489806,6.05824281
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",230.96720698,"ugC_cm2",20.91047382,"ugN_cm2",89.13216958,"ugP_cm2",12.88112979,6.68254689,0.51878577
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",263.58858063,"ugC_cm2",25.84512677,"ugN_cm2",14.43859102,"ugP_cm2",11.89365762,47.07907776,3.95833471
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",490.09526185,"ugC_cm2",41.16546135,"ugN_cm2",24.634601,"ugP_cm2",13.88401341,51.30517127,3.6952695
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",320.11606401,"ugC_cm2",30.75592269,"ugN_cm2",4.20474855,"ugP_cm2",12.13797435,196.33313879,16.17511565
"TECR",2019-09-24,"teakettle creek - watershed 2 neon",36.955931,-119.027363,"Stream","Periphyton",141.01426316,"ugC_cm2",13.27126316,"ugN_cm2",2.01968421,"ugP_cm2",12.39134044,180.05523075,14.53073068
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",195.72339983,"ugC_cm2",20.20693059,"ugN_cm2",2.13414381,"ugP_cm2",11.29561571,236.50767615,20.93800658
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",308.32647548,"ugC_cm2",36.44939734,"ugN_cm2",2.51106608,"ugP_cm2",9.86479294,316.64952904,32.09895342
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",225.96441189,"ugC_cm2",21.76231297,"ugN_cm2",4.42627805,"ugP_cm2",12.10883891,131.65201892,10.87238999
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",363.94248753,"ugC_cm2",38.52582086,"ugN_cm2",2.94648795,"ugP_cm2",11.0166199,318.53287438,28.91384809
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",247.71154059,"ugC_cm2",22.16962614,"ugN_cm2",4.93566858,"ugP_cm2",13.03032892,129.42745785,9.93278517
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",245.09893432,"ugC_cm2",19.42633345,"ugN_cm2",7.99768407,"ugP_cm2",14.71357107,79.03206853,5.37137233
"WLOU",2019-09-10,"west st louis creek neon",39.891366,-105.915395,"Stream","Periphyton",137.5327868,"ugC_cm2",18.61399192,"ugN_cm2",7.68108016,"ugP_cm2",8.61656621,46.17534148,5.35890288
"BLDE",2019-09-09,"blacktail deer creek neon",44.95011,-110.58715,"Stream","Periphyton",378.00550707,"ugC_cm2",36.42975894,"ugN_cm2",3.72111388,"ugP_cm2",12.10066776,261.96986474,21.64920729
"BLDE",2019-09-09,"blacktail deer creek neon",44.95011,-110.58715,"Stream","Periphyton",673.87926018,"ugC_cm2",103.42310889,"ugN_cm2",6.62177889,"ugP_cm2",7.59857246,262.44214942,34.53834924
"BLDE",2019-09-09,"blacktail deer creek neon",44.95011,-110.58715,"Stream","Periphyton",419.24231089,"ugC_cm2",54.54561513,"ugN_cm2",6.38393599,"ugP_cm2",8.96339984,169.35684422,18.89426415
"BLDE",2019-09-09,"blacktail deer creek neon",44.95011,-110.58715,"Stream","Periphyton",282.70043641,"ugC_cm2",49.89276808,"ugN_cm2",5.42487531,"ugP_cm2",6.60779235,134.38874203,20.33791846
"BLDE",2019-09-09,"blacktail deer creek neon",44.95011,-110.58715,"Stream","Periphyton",834.75831255,"ugC_cm2",124.99490856,"ugN_cm2",3.90450956,"ugP_cm2",7.78817922,551.34118121,70.7920511
