"order","family","genus","invertebrateLifeStage","mean_CN","mean_CP","mean_NP","min_CN","min_CP","min_NP","max_CN","max_CP","max_NP"
"Ephemeroptera","Baetidae","Acentrella","larva",9.50268817,306.96078431,32.30252101,9.50268817,306.96078431,32.30252101,9.50268817,306.96078431,32.30252101
"Ephemeroptera","Baetidae","Baetis","larva",7.74794290636364,250.143620568182,33.7164309736364,5.32561728,175.50890585,18.93129771,12.30952381,457.34567901,55.76719577
"Ephemeroptera","Baetidae","Callibaetis","larva",11.80128205,590.79710145,50.0621118,11.80128205,590.79710145,50.0621118,11.80128205,590.79710145,50.0621118
"Ephemeroptera","Baetidae","Fallceon","larva",7.99166667,203.40038314,25.45155993,7.99166667,203.40038314,25.45155993,7.99166667,203.40038314,25.45155993
"Ephemeroptera","Caenidae","Caenis","larva",5.780254775,271.880689635,48.647093595,5.33333333,173.18666667,27.81142857,6.22717622,370.5747126,69.48275862
"Ephemeroptera","Ephemerellidae","Drunella","larva",6.14931699333333,357.504366883333,60.2759615633333,5.07473842,294.24796748,47.44897959,7.45111111,424.71751412,83.69249395
"Ephemeroptera","Ephemerellidae","Ephemerella","larva",7.7366252075,309.21675702,39.624843235,7.46666667,161.21308017,21.02169982,8.30597015,473.94230769,57.06043956
"Ephemeroptera","Ephemerellidae","Serratella","larva",5.62745098,264.79166667,47.05357143,5.62745098,264.79166667,47.05357143,5.62745098,264.79166667,47.05357143
"Ephemeroptera","Ephemeridae","Ephemera","larva",5.13541667,265.32986111,51.66666667,5.13541667,265.32986111,51.66666667,5.13541667,265.32986111,51.66666667
"Ephemeroptera","Heptageniidae","Cingymula","larva",7.63253012,185.5489418,24.31027967,7.63253012,185.5489418,24.31027967,7.63253012,185.5489418,24.31027967
"Ephemeroptera","Heptageniidae","Cinygmula","larva",8.36284461,257.668504915,34.54147568,6.01140351,227.9411765,21.2745098,10.71428571,287.39583333,47.80844156
"Ephemeroptera","Heptageniidae","Epeorus","larva",7.866400792,364.061224274,46.558100592,6.28298611,190.79761905,19.88338192,9.65151515,621.1742424,73.47402597
"Ephemeroptera","Heptageniidae","Leucrocuta","larva",6.93398542,329.27943794,50.3050556933333,5.28723404,207.43781095,24.78678038,8.36888889,436.49425287,65.04464286
"Ephemeroptera","Heptageniidae","Maccaffertium","larva",6.1043771,431.66666667,70.71428571,6.1043771,431.66666667,70.71428571,6.1043771,431.66666667,70.71428571
"Ephemeroptera","Heptageniidae","Rhithrogena","larva",7.845491975,281.7519675925,34.9078042325,5.93589744,159.47777778,26.86666667,9.375,430.55555556,45.92592593
"Ephemeroptera","Heptageniidae","Stenacron","larva",7.09525017,304.65649801,42.53932823,6.24509804,244.87847222,39.21130952,7.9454023,364.4345238,45.86734694
"Ephemeroptera","Heptageniidae","Stenonema","larva",7.87610256666667,303.601013513333,37.07548799,4.84895833,139.29054054,28.72586873,13.54176072,553.47916667,41.62857143
"Ephemeroptera","Isonychiidae","Isonychia","larva",6.56737589,177.19753086,26.98148148,6.56737589,177.19753086,26.98148148,6.56737589,177.19753086,26.98148148
"Ephemeroptera","Leptophlebiidae","Farrodes","larva",6.76388889,322.58547009,47.69230769,6.76388889,322.58547009,47.69230769,6.76388889,322.58547009,47.69230769
"Ephemeroptera","Leptophlebiidae","Neohagenulus","larva",7.58758023,330.173670553333,43.67845691,7,268.22695035,33.44984802,8.01877934,407.98850575,52.68472906
"Ephemeroptera","Leptophlebiidae","Neoleptophlebia","larva",6.43589744,518.73333333,80.6,6.43589744,518.73333333,80.6,6.43589744,518.73333333,80.6
"Hemiptera","Corixidae","Sigara","adult",5.14155653,315.16666667,61.29790941,5.14155653,315.16666667,61.29790941,5.14155653,315.16666667,61.29790941
"Hemiptera","Gerridae","Gerris","larva",8.9561278,342.27572016,38.21693122,8.9561278,342.27572016,38.21693122,8.9561278,342.27572016,38.21693122
"Hemiptera","Notonectidae","Notonecta","adult",5.24200913,225.75488455,43.06648059,5.24200913,225.75488455,43.06648059,5.24200913,225.75488455,43.06648059
"Lepidoptera","Crambidae","Petrophila","larva",4.85278788,137.40451458,28.26767162,4.50462963,113.91993464,23.72759104,5.28746177,156.77723178,32.01376936
"Odonata","Gomphidae","Octogomphus","larva",5.19598765,443.7797619,85.40816327,5.19598765,443.7797619,85.40816327,5.19598765,443.7797619,85.40816327
"Plecoptera","Chloroperlidae","Alaskaperla","larva",6.74637681,218.14814815,32.33560091,6.74637681,218.14814815,32.33560091,6.74637681,218.14814815,32.33560091
"Plecoptera","Chloroperlidae","Sweltsa","larva",6.070794359,347.754798399,57.487633108,4.84615385,175.2173913,28.32983193,7.29166667,542.5,95.95238095
"Plecoptera","Leuctridae","Leuctra","larva",5.93539755,339.13239536,58.712121215,5.28746177,291.547619,44.28571429,6.58333333,386.71717172,73.13852814
"Plecoptera","Nemouridae","Nemoura","larva",9.89429251333333,330.281380483333,33.9245434166667,9.23039216,233.6039886,21.57509158,10.82748538,414.07142857,43.02040816
"Plecoptera","Nemouridae","Zapada","larva",7.29630682,277.57580941,42.21581656,5.18636364,261.37254902,27.78711485,9.40625,293.7790698,56.64451827
"Plecoptera","Peltoperlidae","Tallaperla","larva",6.75,209.25,31,6.75,209.25,31,6.75,209.25,31
"Plecoptera","Perlidae","Acroneuria","larva",6.1473622025,347.537918495,60.0280569625,4.95565749,249.01960784,38.60805861,8.85294118,476.07142857,91.73469388
"Plecoptera","Perlidae","Agnetina","larva",5.218988155,388.13955202,76.57982822,4.58198925,342.45726496,58.47985348,5.85598706,433.82183908,94.67980296
"Plecoptera","Perlidae","Calineuria","larva",5.9413985125,449.96442793,83.53613834,4.63076923,374.91452991,40.31135531,9.30046948,604.73484848,118.76623377
"Plecoptera","Perlidae","Doroneuria","larva",5.51515152,285.81560284,51.82370821,5.51515152,285.81560284,51.82370821,5.51515152,285.81560284,51.82370821
"Plecoptera","Perlidae","Eccoptura","larva",5.44811321,117.85714286,21.63265306,5.44811321,117.85714286,21.63265306,5.44811321,117.85714286,21.63265306
"Plecoptera","Perlidae","Paragnetina","larva",4.88055556,518.73333333,106.28571429,4.88055556,518.73333333,106.28571429,4.88055556,518.73333333,106.28571429
"Plecoptera","Perlodidae","Isoperla","larva",5.82078853,479.46666667,82.37142857,5.82078853,479.46666667,82.37142857,5.82078853,479.46666667,82.37142857
"Plecoptera","Pteronarcyidae","Pteronarcys","larva",8.47887324,105.7936508,12.47732426,8.47887324,105.7936508,12.47732426,8.47887324,105.7936508,12.47732426
"Plecoptera","Taeniopterygidae","Taenionema","larva",19.86403509,232.1412037,11.68650794,19.86403509,232.1412037,11.68650794,19.86403509,232.1412037,11.68650794
"Trichoptera","Apataniidae","Apatania","larva",6.1547619,247.33024691,40.18518519,6.1547619,247.33024691,40.18518519,6.1547619,247.33024691,40.18518519
"Trichoptera","Calamoceratidae","Heteroplectron","larva",6.34219858,153.498062,24.20265781,6.34219858,153.498062,24.20265781,6.34219858,153.498062,24.20265781
"Trichoptera","Hydrobiosidae","Atopsyche","larva",5.850747945,320.31348503,54.85984465,4.95338983,275.37234043,54.12698413,6.74810606,365.25462963,55.59270517
"Trichoptera","Hydropsychidae","Cheumatopsyche","larva",6.86495726333333,424.304108696667,61.2349168033333,5.83333333,220.10463378,37.73222293,8.3,558,86.35714286
"Trichoptera","Hydropsychidae","Diplectrona","larva",7.108449435,153.262851525,22.46113803,6.41052632,103.74374816,13.289623,7.80637255,202.78195489,31.63265306
"Trichoptera","Hydropsychidae","Hydropsyche","larva",5.28301887,516.66666667,97.79761905,5.28301887,516.66666667,97.79761905,5.28301887,516.66666667,97.79761905
"Trichoptera","Limnephilidae","Allocosmoecus","larva",11.81790123,1086.98717949,91.97802198,11.81790123,1086.98717949,91.97802198,11.81790123,1086.98717949,91.97802198
"Trichoptera","Philopotamidae","Dolophilodes","larva",5.7,368.125,64.58333333,5.7,368.125,64.58333333,5.7,368.125,64.58333333
"Trichoptera","Rhyacophilidae","Rhyacophila","larva",5.99139726857143,321.441345477143,53.5765091342857,5.47012579,209.38596491,33.4085213,6.43508772,514.42028986,85.68322981
"Trichoptera","Uenoidae","Neophylax","larva",6.24652778,213.13536651,34.12061454,6.24652778,213.13536651,34.12061454,6.24652778,213.13536651,34.12061454
